id,title,genre,characters,description,link
1,Jiandra,drama romansa angst,Han Jisung,"Jiandra adalah remaja yang tumbuh dalam keluarga tanpa kasih sayang—ibunya sudah meninggal, dan ayahnya tak peduli. Satu-satunya orang yang menunjukkan perhatian padanya adalah Vira, teman sekolahnya. Namun Jiandra memilih menjauh karena tahu sahabatnya, Esa, juga menyukai Vira. Cerita ini menggambarkan konflik batin, cinta segitiga, dan kesepian seorang remaja yang berusaha menjaga persahabatan meski harus mengorbankan perasaannya sendiri.",https://x.com/bubiereis/status/1450320218509611015?t=qoHaL6-EYf21V0WYFtF6CA&s=19
2,Castaway,romansa komedi,Bangchan,"Tiara, seorang intern baru di stasiun TV ternama TEN TV, dikenal sebagai pribadi yang suka main-main dalam hubungan. Suatu hari, ia tak sengaja match di Tinder dengan Krisna, produser terkenal di tempat kerjanya—yang ternyata juga sama-sama player. Awalnya hanya ingin iseng, tapi obrolan mereka terasa berbeda, hingga perlahan Tiara mulai mempertanyakan pandangannya soal hubungan.",https://x.com/foxytells/status/1556218899133509632?t=GDWXnvEkgqu9RjNmTyuo5Q&s=19
3,case:143-5,romansa fluff,Bangchan,"Seorang artis penyanyi pria terkenal bernama Theo, yang juga seorang penulis lagu, diam-diam menggunakan akun media sosial pribadinya untuk memantau para penggemarnya. Suatu hari, ia menemukan cover lagu ciptaannya di YouTube Music dan terpikat oleh suara penyanyinya, Emily—seorang fans aktif yang sering membahas Theo di Twitter. Theo mulai mengikuti aktivitas media sosial Emily secara diam-diam dan merasa makin tertarik, terutama ketika Emily membahas dirinya. Cerita ini menggambarkan hubungan tak terduga antara seorang idol dan fans-nya, dengan nuansa pengamatan rahasia, perasaan tumbuh diam-diam, dan interaksi digital yang perlahan berubah menjadi rasa suka.",https://x.com/sidereummare/status/1616843142489333767?t=TeEEalaTCSF6546iBDLj_w&s=19
4,Quietly Yours,drama romansa,Seungmin,"Saka, seorang artis aktor yang sudah terkenal sejak kecil mengalami masa sulit setelah orang tuanya bercerai. Terjebak dalam keluarga broken home dan dikhianati pacarnya, Saka memutuskan hiatus dari dunia hiburan demi kesehatan mental dan fisiknya. Ia mundur dari proyek terbarunya dan pindah ke kos-kosan sederhana untuk menenangkan diri. Tanpa sengaja, pemilik kos tersebut adalah Disha—seorang penggemar setia Saka yang sering membicarakannya di media sosial. Interaksi mereka yang awalnya canggung mulai berkembang jadi hubungan yang lebih dalam, sementara Saka perlahan menghadapi luka-lukanya dan menemukan kenyamanan di tengah kesederhanaan hidup dan ketulusan Disha.",https://x.com/diassvia/status/1640704281534775298?t=qZH2oTR6jqsfJX5ObZAVFQ&s=19
5,Pulau Pendidaktis,drama sosial romansa,Jaemin,"Pak Alu dan Bu Jenar adalah dua guru yang ditugaskan mengajar di sebuah pulau terpencil yang indah namun penuh tantangan. Di tengah keterbatasan fasilitas, tekanan adat, dan jarak yang memisahkan mereka dari dunia luar, keduanya berusaha keras menyalakan semangat belajar pada anak-anak desa. Sambil menghadapi konflik pribadi dan dinamika sosial masyarakat sekitar, mereka perlahan menemukan makna baru tentang pengabdian, harapan, dan cinta pada profesi. Sebuah kisah menyentuh tentang perjuangan, dedikasi, dan keindahan tersembunyi dari dunia pendidikan di pelosok negeri.",https://x.com/fewritincty/status/1513489909969219584?t=_LvhnrI6K4p4lWZv6WZleQ&s=19
6,Elokaration di Rumah Cendi, drama friendship romansa,Haechan,"Setelah gagal masuk UGM, Eloka memutuskan melanjutkan kuliah di Bengkulu—keputusan yang mengubah arah hidupnya. Di sana, ia bertemu Cendi, sosok pria unik, jenaka, dan penuh wawasan, yang perlahan mengajarkannya arti menerima, memahami sejarah, serta menghargai keberagaman budaya dan masyarakat. Melalui interaksi mereka, Eloka menemukan makna baru dalam persahabatan, keluarga, dan proses tumbuh dewasa. Kisah hangat yang penuh pelajaran hidup, nilai budaya lokal, dan refleksi personal, dibalut dengan dinamika kampus dan percikan intelektual dari sosok Cendi yang benar-benar seperti seorang cendekiawan sejati.",https://x.com/fewritincty/status/1433116364198191104?t=ZsE4v06PDaCV_tlqP9NIEQ&s=19
7,Like We Just Meet,romansa drama,Mark,"Seorang mahasiswi S2 jurusan Creative Writing di Inggris tengah berusaha menyembuhkan luka masa lalunya dan menutup pintu pada cinta—hingga pertemuan tak terduga dengan seorang barista sekaligus musisi mengubah segalanya. Di tengah hiruk-pikuk kota-kota Inggris yang penuh warna, mereka perlahan terikat lewat obrolan ringan, lirik lagu, dan keheningan yang menyembuhkan. Perjalanan ini bukan sekadar tentang cinta yang tumbuh kembali, tetapi juga tentang menemukan diri sendiri, berdamai dengan masa lalu, dan merangkai ulang makna kebahagiaan. Dengan latar visual yang diambil langsung oleh penulis selama kuliah di UK, cerita ini membawa pembaca menjelajahi suasana otentik kehidupan urban Inggris dengan rasa yang sangat personal.",https://x.com/alienulis/status/1710535315109069016?t=TGCewSCtcVdhsoZQmcoRPw&s=19
8,Tangisan Laut Berdarah,misteri horor thriler supranatural,Mark Renjun Jeno Haechan Jaemin Chenle Jisung nct,"Sekelompok siswa kelas 12 yang tengah menikmati liburan di pantai tanpa sengaja memasuki sebuah kawasan yang dikenal dengan sebutan Zona Tragedi Berdarah. Zona ini terhubung dengan insiden tenggelamnya pesawat di masa lalu yang meninggalkan cerita kelam. Tanpa mereka ketahui, arwah-arwah yang terjebak di sana mulai meneror mereka, mencari keadilan atas tragedi yang belum terungkap. Terperangkap dalam kegelapan, para siswa harus mengungkap misteri di balik kejadian tersebut, sebelum mereka juga menjadi bagian dari kisah tragis yang tak pernah selesai. Ketegangan semakin memuncak saat rahasia Zona Tragedi Berdarah terkuak satu per satu.",https://x.com/regallsc/status/1540696334834864128?t=Vf9t495OVh1BBVxOmhpAuA&s=19
9,Elegi Haekal,drama keluarga romansa,haechan,"Seorang remaja laki-laki yang sangat mendambakan kasih sayang ibunya, terjebak dalam rasa kesepian dan rasa bersalah karena masa lalu yang kelam. Ibunya, yang semakin menjauh karena trauma dan rahasia masa lalu yang berhubungan langsung dengan keberadaannya, membuatnya merasa terisolasi. Meski begitu, remaja itu tak pernah berhenti berjuang, berusaha mendapatkan perhatian, pengertian, dan kehangatan dari sang ibu. Sebuah kisah penuh haru tentang perjuangan, pengampunan, dan keinginan yang tak pernah padam untuk meraih cinta yang hilang.",https://x.com/Kejeffreyan/status/1344533355589582849?t=VTkWCQ-jL3NH3V0pQShNNg&s=19
10,Arkananta, drama keluarga psikologi, Mark Renjun Jeno Haechan Jaemin Chenle Jisung,"Keluarga Arkananta, dengan tujuh anak laki-laki dan sang ayah, awalnya hidup harmonis penuh kasih. Namun, kehilangan besar dan berbagai masalah mulai menorehkan konflik yang mengubah suasana rumah menjadi dingin dan penuh kesedihan. Satu per satu, ketujuh saudara itu menghadapi duka dan ketegangan keluarga yang memisahkan mereka, sambil berusaha menyembuhkan luka lama dan memperbaiki ikatan yang retak. Kisah penuh campuran emosi, kesal, sedih, bahagia, dan haru yang menggambarkan kompleksitas hubungan keluarga dan perjuangan bersama melewati masa sulit.",https://x.com/shiningjaemz/status/1348582447592534017?t=KMv7uxGj-xqDNDPlDJV2Bg&s=19
